en,ja
The V will intercept the message and come calling.,SOSはVに盗聴される筈 敵を誘き出すんだ
"The images are Persian pictographs, but the words are in Latin.",イメージはペルシャの絵文字で 言葉はラテン語だ
"Our most promising suspect at the moment is Lydon's son, Carter.",僕らが現在　第一の容疑者と考えてるのは ライドンの息子　カーターだ
What-- what is it?,- なんなの？
This car runs on alcohol.,この自動車はアルコールを燃料に使う。
Add Synchronization Group,同期グループを追加
I got plenty of witnesses over here who saw you use it.,多くの目撃者が撃つところを見たんだ
Is that really what my hair looks like from the back?,私の髪って後ろから見ると こんな感じなの？
You also drove him home.,あなたは再び彼の家に彼を運転しました
Cromartie came through.,クロマティも付いて来たわ.
"It's important, so I'll do it.",それは重要だから僕がやりましょう。
and tell the whole forest what you are!,最初の者を殺す! 森中にお前たちの正體を知らせてやる!
I thought it was a secret.,それは秘密なのだと思いました。
I am pursuing our most important lead.,これが一番の手がかりだ
This is -- this is crazy.,こんなの・・イカレてる
A dark day indeed.,暗い日
♪ They only dream of winning,彼らが求めるのは勝利だけ
Right in Punxsutawney. And it's always February 2nd.,目が覚めると　毎日 ２月2日
Album Title,アルバムのタイトル
There's nothing you can do.,もう手遅れだ、お前がで来る事は 無い
"There's just not a whole lot going on up there, is there?",全てではないが 今もなお...
I'm not saying any more.,これ以上は　話さない
"However, it is not wise to make a woman wait.",女性を待たせては いかんからな
That's a dead end.,行き詰まってる
All I know is that your husband is working with the CIA on it.,ご主人の事で私に分かるのは CIAとお仕事をされている事
Can I hear it?,聴かせてくれる？
It's still my birthday.,まだ私の誕生日よ。
"Man, it comes easy for that guy. Oh. Well, I'm sorry.",こいつは　簡単にあしらえる 気の毒に
It depends. There's no set calendar.,人それぞれよ 決まっているわけではないから
"It was gonna cut right in, slash through, slashed right in, cut right through...",ちょうどタックルして 反撃に移ったところだ
Down to eight.,８人
Ten seconds to impact.,10 秒後に着弾
Say hello.,-ハローと言って
- Me?,-僕が？
I started the war.,抗争を始めた
We cannot go to the nearby store to buy,近所のスーパーへ 走ることはできない
Jake!,ジェイク！
"Come on, keep up.",ほら 頑張って 靴のせいだ
"That poor lady who turned to stone, she ... she have a tight grip.",石にされた哀れな御婦人が しっかり掴んでたの
"- Look at me. Are you okay? - Oh, God,",こっちを見て 大丈夫？
Their trouble stems from a trifling matter.,あの人たちのトラブルのもとは些細なことだ。
"He's my own grandpa, and I still make damn sure I never piss him off none.",わたしの祖父だけど 絶対怒らせないようにしているわ
Castiel...,カスティエル...
The ring. Uh-uh.,ザ・リング
"You know. See, Bill, like, you're the new guy.",「いいか、聞け、ビリー 確かにお前は若い」
"If there is another spy, they can't see you like this.",スパイが居たとしても 今は居ない
"It was you, wasn't it?",あなたの事じゃないの？
Feels like I've been here right from the beginning.,最初から存在した気分だ
"You hope I'll make it easy and just drop dead, don't you?",そのうち死ぬと 期待してるな？
"Born and raised in Hammerton, Florida.",フロリダの ハマートンで生まれて育った
"Now, why would a killer do that?",犯人が　なぜそんなことを？
I've devoted my life to the bureau and you just expect me to believe that it's corrupted--that the entire government's been corrupted?,FBIに人生を捧げてきたのに 局も政府も腐敗してるって 信じろと言うの?
"So I wanna start with you in front of the Justice Building, okay?",それで　司法省ビルの前で 撮影を開始したいの　いい？
Get the money!,金を！
- Sara!,- サラ！
- You've asked me to share dreams with you.,- あなたと夢を共有するんだから
I brought you something.,何か食べるでしょ
Tom didn't have enough money to go to the concert.,トムはコンサートにいくお金がなかった。
It parks down the street from the crime scene.,その車は　事件現場近くに停めてあった
"Lift the spell, or I will kill her. I deserve to be out there.",バリアを解除して さもないと彼女を殺す
Oh yes... I love surprises.,ビツク'丿するのは 大女子きよ
"Well, they're so worried about people coming in that they don't see me get out.",入る時は 注意してるけど − 出る時は 見てない
Alex's freshman year I.D. photo.,入学時の写真だから
"- What word? - ""Good night.""",- 「おやすみ」だ
This water tank goes down another 6000 feet.,このタンクは 深さ6千フィートまで続いてる
"And let me guess, you saved me.",はっきり 言ったら？ 俺が救ったって
"- What's your name, boy? I'm Curly, the oldest and wisest of the crew.",１番 年上の カーリーです
"and preached to them in public, and also addressed them in secret.",或る時は公に，また（或る時は）密かにかれらに（訴えて），
Take a seat.,座れ
- She cannot leave the court until...,- 審理が終わるまで女は...
- Sure you do.,- 知っている筈です
"It was an email, not a memo.",メールだよ メモじゃない
What the hell's that?,そりゃ 一体何だ？
"""Our lives are not our own.","""人生は自分の物ではない"""
their target is me.,恐らく 狙いは私です
that would continue the tale and I will turn the page,あなたのしぐさだけで 人の裏をかく視線、意図を私は読み取る 私は何も言わずに
"My rabbit's foot. If you don't believe in it, I'll take it back.",ウサギの足　信じないなら 返してもらう
"Crude, simplistic, but...",Crudeにしてはシンプルかな・・
"Unless we're parked in San Diego Bay, you're at war every time you step on this boat.",サンディエゴ湾で停泊ができないなら 君はこの艦に乗ってる時は常に戦争をしていることになるぞ
"- Derek, please open the door!",- デレク　ドアを開けてよ
So I want you all to come outside now and line up single file while I take a brief intermission!,だから　皆 出てきて　一列に並んでくれ ちょっと休憩するから！
"I don't want to say ""civilized"".., because I don't want to offend, but it is civilized,",「文明化」とは言いたくない... 気を悪くしないで欲しい 文明化以外は
No...,いいえ
He's a drug-addicted sadist...,麻薬中毒のサディスト・・・
